Park Name,County,Park Identifier,Park Address,City,Zip,Phone,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by
BONNIES TP,LOS ANGELES,19-0073-MP,"5903 HOLMES AVE,  LOS ANGELES,  CA 90001", LOS ANGELES,90001, (213) 585-8782,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",8,0,0,"LO, SHAO, 9841 BROADWAY, TEMPLE CITY, CA 91780"
SHADY LANE MP,LOS ANGELES,19-0079-MP,"2532 MOUNTAIN VIEW RD,  EL MONTE,  CA 91731", EL MONTE,91731, (213) 585-8782,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"GHUMAN, DASH, 2532 MOUNTAIN VIEW RD, EL MONTE, CA 91731"
SHADY LANE TP,LOS ANGELES,19-0084-MP,"7221 E SOMERSET AVE #0223,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (310) 630-1602,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29,0,0,"MOBILEHOME GROUP I LLC CALIFORNIA PARTNERSHIP, 4900 SANTA ANITA AVE #2C, EL MONTE, CA 91731"
BUSCH TRAILER CT,LOS ANGELES,19-0086-MP,"7916 JABONERIA RD,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (310) 806-9284,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6,0,0,"JERVIS, DONALD, PO BOX 39970, DOWNEY, CA 90239"
VILLA VERMONT MHP,LOS ANGELES,19-0088-MP,"13713 S VERMONT,  GARDENA,  CA 90247", GARDENA,90247, (626) 377-0638,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34,0,0,"YANG, WAYNE, PO BOX 3363, CITY OF INDUSTRY, CA 91744"
GREEN ACRE TP,LOS ANGELES,19-0091-MP,"4511 CECELIA ST,  CUDAHY,  CA 90201", CUDAHY,90201, (213) 771-8352,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"NORTON, BILL, 24322 SANTA CLARA #4, DANA POINT, CA 92629"
CALIFORNIA TRAILER GROVE,LOS ANGELES,19-0092-MP,"222 E FOOTHILL BLVD,  POMONA,  CA 91767", POMONA,91767, (909) 596-6132,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",39,47,0,"MOBILE HOME GROUP I, LLC, 4900 SANTA ANITA AVE., #2C, EL MONTE, CA 91731"
CAMP WILLIAMS,LOS ANGELES,19-0095-MP,"24210 E EAST FORK RD,  AZUSA,  CA 91702", AZUSA,91702, (909) 596-6132,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",44,0,49,"LENZ, ROBERT, 3515 HIGHLAND AVE SUITE # 101, MANHATTAN BEACH, CA 90266"
LITTLE FOX TRAILER COURT,LOS ANGELES,19-0097-MP,"272 N TOPANGA CANYON BLVD,  TOPANGA,  CA 90290", TOPANGA,90290, (310) 230-2427,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",1,3,0,"272 TOPANGA LLC, 16321 PACIFIC COAST HIGHWAY #C, PACIFIC PALISADES, CA 90272"
MULBERRY MOBILE HOME PARK,LOS ANGELES,19-0100-MP,"25000 HAWKBRYN AVE,  SANTA CLARITA,  CA 91321", SANTA CLARITA,91321, (661) 259-3678,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",109,0,0,"JDH CAPITAL LLC, 22231 MULHOLLAND HWY #101, CALABASAS, CA 91302"
SKYLARK HAWTHORNE MP,LOS ANGELES,19-0109-MP,"3225 W ROSECRANS AVE,  HAWTHORNE,  CA 90250", HAWTHORNE,90250, (818) 284-0958,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",18,0,0,"DOLORES, STOCKTON, 2049 CENTURY PARK EAST SUITE # 1200, LOS ANGELES, CA 90067"
HOLLYVIEW MOBILEHOME PARK,LOS ANGELES,19-0111-MP,"1349 1/2 WEST 135TH ST,  GARDENA,  CA 90247", GARDENA,90247, (310) 719-8736,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19,0,0,"BERNAL, AMELIA, PO BOX 3475, GARDENA, CA 90247"
WOODLAND GROVE TP,LOS ANGELES,19-0116-MP,"8614 E FLOWER,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (562) 633-6585,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29,0,0,"SMITH, EVELYN, KENNETH SMITH PO BOX 2365, BORREGO SPGS, CA 92004"
CITRUS DRIVE TRAILER PARK,LOS ANGELES,19-0117-MP,"4731 CITRUS DR,  PICO RIVERA,  CA 90660", PICO RIVERA,90660, (562) 463-0574,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28,0,0,"FLICK, FREDERICK, 18742 VAN NESS AVE, TORRANCE, CA 90504"
CERRITOS MOBILE LODGE,LOS ANGELES,19-0122-MP,"11733 166TH ST,  NORWALK,  CA 90650", NORWALK,90650, (213) 722-1061,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","NORWALK BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 12700 SOUTH NORWALK BLVD  RM 12, NORWALK, CA 90650",40,0,0,"CERRITOS MOBILE LODGE, 11733 E 166TH ST, NORWALK, CA 90650"
ALTA LOMA TRAILER CT,LOS ANGELES,19-0124-MP,"2449 LOMA AVE #0053,  S EL MONTE,  CA 91733", S EL MONTE,91733, (626) 575-3070,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"GROUP XI PICO RIVERA PROPERTIES, LP, 4900 SANTA ANITA AVE #2C, EL MONTE, CA 91731"
SANTA FE VILLAGE MHC,LOS ANGELES,19-0127-MP,"1740 N SANTA FE AVE,  COMPTON,  CA 90221", COMPTON,90221, (714) 379-4888,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",44,0,0,"1740 N. SANTA FE AVE MHP, LLC, 22880 SAVI RANCH PKWY, YORBA LINDA, CA 92887"
COMPTON KNOLLS MHP,LOS ANGELES,19-0128-MP,"15021 S WADSWORTH,  COMPTON,  CA 90220", COMPTON,90220, (310) 273-4177,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28,0,0,"DANNY, DOUGLAS, 3722 AMARYLLIS DR, SAN DIEGO, CA 92106"
CONANTS TP,LOS ANGELES,19-0129-MP,"9427 E RUSH ST,  S EL MONTE,  CA 91733", S EL MONTE,91733, (818) 443-5942,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",52,0,0,"ROSEMEAD HOLDING LLC, 221 N ORANGE AVE, CITY INDUSTRY, CA 91744"
COUNTRY MOBILE ESTATES,LOS ANGELES,19-0140-MP,"16754 E AVE X,  LLANO,  CA 93544", LLANO,93544, (661) 944-3434,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",87,0,0,"LLANO COUNTRY MOBILE ESTATES, LLC, 1044 E PROVIDENCIA ST, BURBANK, CA 91501"
DELUXE TRAILER LODGE,LOS ANGELES,19-0164-MP,"529 E EL SEGUNDO BLVD,  COMPTON,  CA 90222", COMPTON,90222, (310) 631-6827,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",55,0,0,"FINK, JERRY, 22880 SAVI RANCH PKWY, YORBA LINDA, CA 92887"
PARK SANTA FE,LOS ANGELES,19-0168-MP,"8933 S SANTA FE SPRINGS RD,  WHITTIER,  CA 90606", WHITTIER,90606, (562) 698-5224,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",32,0,0,"SOLIZ, TIBURCIO, 8949 SANTA FE SPRINGS RD, WHITTIER, CA 90604"
GLEN ELM MOBILE HOMES,LOS ANGELES,19-0170-MP,"11017 33 DODSON ST,  EL MONTE,  CA 91731", EL MONTE,91731, (818) 444-4727,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34,0,0,"BAYER, DAN, 4804 LAUREL CANYON BLVD. #742, VALLEY VILLAGE, CA 91607"
TELSTAR MP,LOS ANGELES,19-0173-MP,"343 E AVE Q,  PALMDALE,  CA 93550", PALMDALE,93550, (805) 947-6633,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"CARMEL CENTINELA HOLDINGS, 10234 NATIONAL BLVD. #1, LOS ANGELES, CA 90034"
GARVEY TRAILER PARK,LOS ANGELES,19-0193-MP,"9561 E GARVEY AVENUE,  S EL MONTE,  CA 91733", S EL MONTE,91733, (714) 827-1252,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29,0,0,"ANENOME INDUSTRIES LLC, PO BOX 721, ROSEMEAD, CA 91770"
EL NOR TP,LOS ANGELES,19-0196-MP,"1414 W EL SEGUNDO BLVD,  GARDENA,  CA 90247", GARDENA,90247, (310) 329-7187,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",41,0,0,"DZIKOWSKI, TED, LASALLE INVESTMENTS 44925 ACACIA AVE, HEMET, CA 92544"
NORWALK MOBILE LODGE,LOS ANGELES,19-0198-MP,"16341 PIONEER BLVD,  NORWALK,  CA 90650", NORWALK,90650, (310) 329-7187,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","NORWALK BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 12700 SOUTH NORWALK BLVD  RM 12, NORWALK, CA 90650",92,0,0,"JAMES FLESH ET AL, PO BOX 3925, ONTARIO, CA 91761"
ELMWOOD TRAILER PARK,LOS ANGELES,19-0206-MP,"8025 SORENSEN AVE,  SANTA FE SPRINGS,  CA 90670", SANTA FE SPRINGS,90670, (310) 696-3866,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19,0,0,"WALDRON, DONALD, PO BOX 92312, CITY OF INDUSTRY, CA 91715"
MARINELAND MHP,LOS ANGELES,19-0209-MP,"531 PIER AVE,  HERMOSA BEACH,  CA 90254", HERMOSA BEACH,90254, (310) 374-6161,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",60,0,0,"MARINELAND COMMUNITY ASSOC INC, C/O LES FRAME MGMT 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
MID CITY MHP,LOS ANGELES,19-0210-MP,"5656 CLARA ST,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (310) 928-2392,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"SAVANT, BARBARA, 135 NORTHSTAR MALL, MARINA DEL REY, CA 90292"
FELIPE TP,LOS ANGELES,19-0218-MP,"12328 FELIPE ST,  EL MONTE,  CA 91732", EL MONTE,91732, (818) 448-5849,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",11,0,0,"HUANG, CHU, 2440 S HACIENDA BLVD #132, HACIENDA HEIGHTS, CA 91745"
FLAMINGO TP,LOS ANGELES,19-0220-MP,"17444 S LAKEWOOD BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (714) 974-0397,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",47,0,0,"J& H PROPERTIES, 22880 SAVI RANCH PKWY, YORBA LINDA, CA 92887"
PALM VISTA,LOS ANGELES,19-0221-MP,"9921 FLORA VISTA AVE,  BELLFLOWER,  CA 90706", BELLFLOWER,90706,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",15,0,0,"PALM VISTA LLC, 4820 E 2ND ST #5, LONG BEACH, CA 90803"
SERENITY ACRES MHP,LOS ANGELES,19-0225-MP,"24833 N SAN FERNANDO RD,  SANTA CLARITA,  CA 91321", SANTA CLARITA,91321, (805) 259-5536,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28,0,0,"KEENAN L BROWN, CONSERVATOR FOR RAMONA SHAW, 603-B EAST UNIVERSITY DRIVE # 311, CARSON, CA 90746"
JAY COR TP,LOS ANGELES,19-0229-MP,"5540 QUINN ST,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (310) 792-1660,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"GRAHAM, JOE, C/O IRMA ORTIZ (PROP MGR) P.O. BOX 1007, TORRANCE, CA 90505"
FAIR HAVEN TP,LOS ANGELES,19-0230-MP,"9235 E ARTESIA,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 920-0029,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",51,0,0,"CHAU FAIRHAVEN RENTALS LLC, 17031 BOLERO LANE, HUNTINGTON BEACH, CA 92649"
BRENHAVEN TP,LOS ANGELES,19-0234-MP,"13324 INGLEWOOD AVE,  HAWTHORNE,  CA 90250", HAWTHORNE,90250, (310) 547-1374,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"DELUNA, MANUEL, 7343 W MANCHESTER AVE, LOS ANGELES, CA 90045"
ARROW GLEN MANOR LLC,LOS ANGELES,19-0235-MP,"19850 E ARROW HWY,  COVINA,  CA 91724", COVINA,91724, (626) 331-2432,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",102,0,0,"ARROW GLEN MANOR LLC, PO BOX 3370, ONTARIO, CA 91761"
ELMS MOBILE MANOR,LOS ANGELES,19-0243-MP,"13720 E VALLEY BLVD,  LA PUENTE,  CA 91746", LA PUENTE,91746, (626) 333-8112,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",45,0,0,"RYU, CHUNG, PO BOX 660602, ARCADIA, CA 91006"
GARDEN TRAILER PARK,LOS ANGELES,19-0244-MP,"5825 E FLORENCE AVE,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (818) 961-1814,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27,0,0,"DESERT SPRING INN, LLC, 1626 S HILL ST, LOS ANGELES, CA 90015"
HIDE A WAY,LOS ANGELES,19-0247-MP,"12224 MAGNOLIA AVE #0058,  EL MONTE,  CA 91733", EL MONTE,91733, (818) 280-6075,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"GROUP XI, PICO RIVERA, PROPERTIES, LP, 4900 SANTA ANITA AVE, #2C, EL MONTE, CA 91731"
