Park Name,County,Park Identifier,Park Address,city,zipcode,phone number,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by
UNIQUE TP,LOS ANGELES,19-0724-MP,"10120 FERN ST,  S EL MONTE , 91733", S EL MONTE,91733, (805) 948-3350,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,0,0,"LEWIS, JOHN, 8624 FAIRMONT WY, FAIR OAKS, CA 95628"
SUN TP,LOS ANGELES,19-0764-MP,"2630 N SAN GABRIEL BLVD,  ROSEMEAD , 91770", ROSEMEAD,91770,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"IWAHORI, TAKAHISA, 11622 SPYGLASS DR, NORTHRIDGE, CA 91326"
WHEELERS TP,LOS ANGELES,19-0766-MP,"2835 CONSOL ST,  EL MONTE , 91733", EL MONTE,91733, (310) 630-1827,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"CHRISMAN, NORMAN, PO BOX 1656, RANCHO SANTA FE, CA 92067"
WINTER HAVEN TP,LOS ANGELES,19-0780-MP,"7524 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",8,0,0,"WAHNISH, TRUST, C/O NANCY SOLURI, TRUSTEE 174 W FOOTHILL BLVD #509, MONROVIA, CA 91016"
ZIEVES TRAILER PARK,LOS ANGELES,19-0791-MP,"7414 MARBRISA,  HUNTINGTON PARK , 90255", HUNTINGTON PARK,90255,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
LIVE OAK COMMUNITY PARK LLC,LOS ANGELES,19-0885-MP,"4343 E LIVE OAK AVE,  ARCADIA , 91006", ARCADIA,91006, (626) 358-8116,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",56,0,0,"LIVE OAK COMMUNITY PARK LLC, 4804 LAUREL CYN BLVD #742, VALLEY VILLAGE, CA 91607"
DOWNEY TRAILER PARK,LOS ANGELES,19-0911-MP,"7540 FIRESTONE BLVD.,  DOWNEY , 90240", DOWNEY,90240,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
JIMMY MOTEL,LOS ANGELES,19-0914-MP,"10101 GARVEY AVE,  EL MONTE , 91731", EL MONTE,91731, (626) 377-5528,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",5,0,0,"CHAK, LINDA, 1281 MILL LN, SAN MARINO, CA 91108"
PEPPER GROVE TP,LOS ANGELES,19-0927-MP,"4830 SAN FERNANDO RD,  GLENDALE , 91201", GLENDALE,91201, (310) 320-0361,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",58,0,0,"HILLGRENS ASSOCIATION INC, 26 E COLORADO #4, PASADENA, CA 91105"
SOLEDAD TRAILER LODGE,LOS ANGELES,19-0933-MP,"18300 SOLEDAD CANYON RD,  SANTA CLARITA , 91351", SANTA CLARITA,91351, (818) 902-4423,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27,0,0,"ROBBCO PROPERTIES LLC, 27946 HENRY MAYO DR, CASTAIC, CA 91384"
SOUTH HILLS MH ESTATES,LOS ANGELES,19-0946-MP,"842 E ROUTE 66,  GLENDORA , 91740", GLENDORA,91740, (626) 335-5641,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",39,0,0,"GLENDORA HOUSING INVESTORS LP, 110 PINE AVE., STE. 200, LONG BEACH, CA 90802"
VIEW PARK MOBILEHOMES,LOS ANGELES,19-0947-MP,"1235 W 134TH ST,  GARDENA , 90247", GARDENA,90247, (310) 630-4878,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"TARICCO, DEANE, 1235 W 134 TH ST SPACE # 20, GARDENA, CA 90247"
HIDDEN VALLEY TRAILER PARK,LOS ANGELES,19-0954-MP,"13671 E. GARVEY AVENUE,  BALDWIN PARK , 91706", BALDWIN PARK,91706,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
FRAMPTON TRAILER LODGE,LOS ANGELES,19-0973-MP,"24629 FRAMPTON AVE,  HARBOR CITY , 90710", HARBOR CITY,90710,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
PALMS MOBILE LODGE,LOS ANGELES,19-0987-MP,"4025 GRANDVIEW,  LOS ANGELES , 90066", LOS ANGELES,90066, (562) 694-0215,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"GRANDVIEW DEVELOPMENT LP, 218 NORTH CANON DR SUITE # C, BEVERLY HILLS, CA 90210"
CANYON BREEZE VILLAGE,LOS ANGELES,19-1003-MP,"28504 SAND CANYON RD,  SANTA CLARITA , 91387", SANTA CLARITA,91387, (661) 250-1265,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",166,0,0,"SAND CYN GATEWAY LLC, 28504 SAND CYN RD #A, CANYON COUNTRY, CA 91387"
SKY TERRACE MP,LOS ANGELES,19-1034-MP,"12089 LOPEZ CANYON RD,  SAN FERNANDO , 91340", SAN FERNANDO,91340, (818) 899-5939,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",63,0,0,"SE SKY SPE, LLC, DEWEY FAMILY TRUST 8447 WILSHIRE BLVD,#100, BEVERLY HILLS, CA 90211"
SANTAS VILLAGE/PARK,LOS ANGELES,19-10761-MP,"3737 MAIN ST,  AZUSA , 91702", AZUSA,91702,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
HOLLYWOOD WAY TRAILER CT,LOS ANGELES,19-1083-MP,"2240 N HOLLYWOOD WAY,  BURBANK , 91505", BURBANK,91505, (310) 390-4604,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",75,0,0,"PARK OPERATOR 19-1083, C/O L D FLICKINGER CO 33338 AGUA DULCE CANYON RD #111, AGUA DULCE, CA 91350"
POMONA GARDENS,LOS ANGELES,19-1097-MP,"934 W HOLT AVE,  POMONA , 91768", POMONA,91768, (909) 623-9855,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,21,0,"CITY OF POMONA, 6117 BROCKTON AVE SUITE # 203, RIVERSIDE, CA 92506"
CANYON COUNTRY MOBILEHOME PARK LLC,LOS ANGELES,19-11421-MP,"1394 BALMORAL DR,  GLENDALE , 91207", GLENDALE,91207,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
CANYON COUNTRY MOBILEHOME PARK LLC,LOS ANGELES,19-11422-MP,"1394 BALMORAL DR,  GLENDALE , 91207", GLENDALE,91207,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
SHADYLANE TRAILER CT,LOS ANGELES,19-1151-MP,"11400 ILEX AVE,  SAN FERNANDO , 91340", SAN FERNANDO,91340, (805) 251-5949,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35,0,0,"ADAMS, JOHN, PO BOX 10, SAN FERNANDO, CA 91341"
PACOIMA PARK,LOS ANGELES,19-1152-MP,"10641 SAND FERNANDO RD,  PACOIMA , 91331", PACOIMA,91331, (818) 899-3240,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",26,0,0,"SAVANT, BARBARA, C/O MANDELBAUM & ASSOC 848 MANHATTAN BEACH BLVD, MANHATTAN BEACH, CA 90266"
STARLITE MHP,LOS ANGELES,19-1165-MP,"12159 BRANFORD AVE,  SUN VALLEY , 91352", SUN VALLEY,91352, (714) 542-6000,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",41,0,0,
PARADISE TP,LOS ANGELES,19-11761-MP,"10547 STRATHMORE DR,  LOS ANGELES , 90024", LOS ANGELES,90024,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",60,0,0,
TRAILER TEL MHP,LOS ANGELES,19-1202-MP,"3300 THATCHER AVE,  MARINA DEL REY , 90292", MARINA DEL REY,90292, (213) 834-7109,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",24,6,0,"AGAJANIAN, JOE, PO BOX 716, VENICE, CA 90291"
HALLMAN TP,LOS ANGELES,19-1207-MP,"614 N ATLANTIC BLVD,  MONTEREY PARK , 91754", MONTEREY PARK,91754, (818) 963-2295,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",22,0,0,"ATLANTIC TIMES SQUARE, 411 E HUNTINGTON DR #305, ARCADIA, CA 91006"
BEL ABBEY MHP,LOS ANGELES,19-1234-MP,"200 E GARDENA BLVD,  CARSON , 90745", CARSON,90745, (310) 323-3073,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50,0,0,"HAPPY TRAILS, 334 GARDENA BLV., GARDENA, CA 90248"
