,Park Name,County,Park Identifier,Park Address,city,zipcode,phone number,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by,lat,lon,geometry
26,CHICO AVE TRAILER CT,LOS ANGELES,19-0406-MP,"2702 CHICO AVE,  S EL MONTE , 91733", S EL MONTE,91733, (310) 866-4004,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25.0,0.0,0.0,"KAM LEWIS & HUEY, 8624 FAIRMONT WY, FAIR OAKS, CA 95628",34.061182480880845,-118.05993905142662,POINT (-13142372.29828972 4037020.300077104)
27,MOUNTAIN VIEW MOBILE INN,LOS ANGELES,19-0448-MP,"1930 STEWART ST,  SANTA MONICA , 90404", SANTA MONICA,90404, (310) 828-7178,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","SANTA MONICA BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 1685 MAIN STREET RM 111, SANTA MONICA, CA 90401",141.0,0.0,0.0,"CARITAS ACQUISITIONS IV LLC, 3 PARK PLAZA # 1700, IRVINE, CA 92614",34.02706981632653,-118.463966,POINT (-13187348.37247167 4032437.420515758)
28,AMERICAN ADVENTURES FOREST LAKES RESORT,LOS ANGELES,19-0449-MP,"17000 ELIZABETH LAKE RD,  LAKE HUGHES , 93532", LAKE HUGHES,93532, (805) 724-1412,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",0.0,4.0,252.0,"AMERICAN ADVENTURES, 101 INVERNESS DR EAST SUITE # 130, ENGLEWOOD, CO 80112",34.67358871229875,-118.43159953608843,POINT (-13183745.35419026 4119611.15363912)
29,CRYSTAL POOL MHP,LOS ANGELES,19-0470-MP,"1722 E HUNTINGTON DR,  DUARTE , 91010", DUARTE,91010, (818) 359-1302,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35.0,0.0,0.0,"HFC CONSULTING & MANAGEMENT, PO BOX 1163, SIERRA MADRE, CA 91024",34.139536666666665,-117.96819013333334,POINT (-13132158.85544675 4047553.815647054)
30,RAINBOW TP,LOS ANGELES,19-0550-MP,"31413 CASTAIC RD,  CASTAIC , 91384", CASTAIC,91384, (805) 296-2021,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",10.0,0.0,0.0,"COWAN FAMILY GRANTOR RETAINED INCOME TRUST, 10326 TENNESSEE AVE, LOS ANGELES, CA 90064",34.48939188459863,-118.61690106987176,POINT (-13204373.02657423 4094706.232096507)
31,VILLA TRAILER PARK,LOS ANGELES,19-0553-MP,"3100 BASEBALL,  EL MONTE , 91731", EL MONTE,91731, (818) 444-2229,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",10.0,0.0,0.0,"TARIGHAT, BIJAN, ",34.063654,-118.023971,POINT (-13138368.35312009 4037352.408944895)
35,SHADY NOOK TP,LOS ANGELES,19-0635-MP,"21009 PROSPECT AVE,  CARSON , 90810", CARSON,90810, (818) 442-0383,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6.0,0.0,0.0,"CARLSEN, KENT, PO BOX 8321, LONG BEACH, CA 90808",33.839028918406,-118.21836425129526,POINT (-13160008.11086792 4007207.968434066)
37,TRAIL IN TP,LOS ANGELES,19-0700-MP,"14711 GARFIELD,  PARAMOUNT , 90723", PARAMOUNT,90723, (310) 630-8417,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6.0,0.0,0.0,"NEUMANN, HILDE, 4561 MAROON DR, LA PALMA, CA 90623",33.899815488284794,-118.16893072002917,POINT (-13154505.19533927 4015357.613779247)
38,UNIQUE TP,LOS ANGELES,19-0724-MP,"10120 FERN ST,  S EL MONTE , 91733", S EL MONTE,91733, (805) 948-3350,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17.0,0.0,0.0,"LEWIS, JOHN, 8624 FAIRMONT WY, FAIR OAKS, CA 95628",34.059009543606656,-118.04826471018322,POINT (-13141072.71656716 4036728.320962567)
39,SUN TP,LOS ANGELES,19-0764-MP,"2630 N SAN GABRIEL BLVD,  ROSEMEAD , 91770", ROSEMEAD,91770,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21.0,0.0,0.0,"IWAHORI, TAKAHISA, 11622 SPYGLASS DR, NORTHRIDGE, CA 91326",34.060028,-118.09047,POINT (-13145770.98793835 4036865.170734586)
42,ZIEVES TRAILER PARK,LOS ANGELES,19-0791-MP,"7414 MARBRISA,  HUNTINGTON PARK , 90255", HUNTINGTON PARK,90255,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,33.972904586482564,-118.23131566370549,POINT (-13161449.85550248 4025164.354101292)
44,DOWNEY TRAILER PARK,LOS ANGELES,19-0911-MP,"7540 FIRESTONE BLVD.,  DOWNEY , 90240", DOWNEY,90240,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,33.9372794,-118.1273998,POINT (-13149881.99446945 4020383.287971158)
45,JIMMY MOTEL,LOS ANGELES,19-0914-MP,"10101 GARVEY AVE,  EL MONTE , 91731", EL MONTE,91731, (626) 377-5528,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",5.0,0.0,0.0,"CHAK, LINDA, 1281 MILL LN, SAN MARINO, CA 91108",34.062797,-118.049192,POINT (-13141175.94199738 4037237.248997843)
46,PEPPER GROVE TP,LOS ANGELES,19-0927-MP,"4830 SAN FERNANDO RD,  GLENDALE , 91201", GLENDALE,91201, (310) 320-0361,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",58.0,0.0,0.0,"HILLGRENS ASSOCIATION INC, 26 E COLORADO #4, PASADENA, CA 91105",34.13937106153484,-118.26786544742806,POINT (-13165518.55881509 4047531.542291709)
47,SOLEDAD TRAILER LODGE,LOS ANGELES,19-0933-MP,"18300 SOLEDAD CANYON RD,  SANTA CLARITA , 91351", SANTA CLARITA,91351, (818) 902-4423,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27.0,0.0,0.0,"ROBBCO PROPERTIES LLC, 27946 HENRY MAYO DR, CASTAIC, CA 91384",34.416376,-118.453002,POINT (-13186127.86557462 4084849.120596178)
48,SOUTH HILLS MH ESTATES,LOS ANGELES,19-0946-MP,"842 E ROUTE 66,  GLENDORA , 91740", GLENDORA,91740, (626) 335-5641,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",39.0,0.0,0.0,"GLENDORA HOUSING INVESTORS LP, 110 PINE AVE., STE. 200, LONG BEACH, CA 90802",34.128902992651824,-117.8516144066622,POINT (-13119181.70491486 4046123.709410115)
49,VIEW PARK MOBILEHOMES,LOS ANGELES,19-0947-MP,"1235 W 134TH ST,  GARDENA , 90247", GARDENA,90247, (310) 630-4878,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25.0,0.0,0.0,"TARICCO, DEANE, 1235 W 134 TH ST SPACE # 20, GARDENA, CA 90247",33.910880393379614,-118.29726465027814,POINT (-13168791.26310608 4016841.708524764)
51,FRAMPTON TRAILER LODGE,LOS ANGELES,19-0973-MP,"24629 FRAMPTON AVE,  HARBOR CITY , 90710", HARBOR CITY,90710,,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,33.80227196933091,-118.29923196658464,POINT (-13169010.26375555 4002282.782826327)
52,PALMS MOBILE LODGE,LOS ANGELES,19-0987-MP,"4025 GRANDVIEW,  LOS ANGELES , 90066", LOS ANGELES,90066, (562) 694-0215,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20.0,0.0,0.0,"GRANDVIEW DEVELOPMENT LP, 218 NORTH CANON DR SUITE # C, BEVERLY HILLS, CA 90210",33.9902669,-118.4509207,POINT (-13185896.17631843 4027495.183467863)
53,CANYON BREEZE VILLAGE,LOS ANGELES,19-1003-MP,"28504 SAND CANYON RD,  SANTA CLARITA , 91387", SANTA CLARITA,91387, (661) 250-1265,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",166.0,0.0,0.0,"SAND CYN GATEWAY LLC, 28504 SAND CYN RD #A, CANYON COUNTRY, CA 91387",34.4276903402885,-118.42371640007114,POINT (-13182867.80750296 4086375.987414647)
56,HOLLYWOOD WAY TRAILER CT,LOS ANGELES,19-1083-MP,"2240 N HOLLYWOOD WAY,  BURBANK , 91505", BURBANK,91505, (310) 390-4604,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",75.0,0.0,0.0,"PARK OPERATOR 19-1083, C/O L D FLICKINGER CO 33338 AGUA DULCE CANYON RD #111, AGUA DULCE, CA 91350",34.1674848,-118.3468132,POINT (-13174306.98243067 4051313.374910762)
57,POMONA GARDENS,LOS ANGELES,19-1097-MP,"934 W HOLT AVE,  POMONA , 91768", POMONA,91768, (909) 623-9855,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17.0,21.0,0.0,"CITY OF POMONA, 6117 BROCKTON AVE SUITE # 203, RIVERSIDE, CA 92506",34.061913181818184,-117.76584388888888,POINT (-13109633.77455126 4037118.486559528)
58,CANYON COUNTRY MOBILEHOME PARK LLC,LOS ANGELES,19-11421-MP,"1394 BALMORAL DR,  GLENDALE , 91207", GLENDALE,91207,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,34.17505495480177,-118.23726891237968,POINT (-13162112.56811346 4052331.919942241)
59,CANYON COUNTRY MOBILEHOME PARK LLC,LOS ANGELES,19-11422-MP,"1394 BALMORAL DR,  GLENDALE , 91207", GLENDALE,91207,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,34.17505495480177,-118.23726891237968,POINT (-13162112.56811346 4052331.919942241)
63,PARADISE TP,LOS ANGELES,19-11761-MP,"10547 STRATHMORE DR,  LOS ANGELES , 90024", LOS ANGELES,90024,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",60.0,0.0,0.0,,34.07045005417732,-118.43709134987219,POINT (-13184356.7001042 4038265.674502646)
65,HALLMAN TP,LOS ANGELES,19-1207-MP,"614 N ATLANTIC BLVD,  MONTEREY PARK , 91754", MONTEREY PARK,91754, (818) 963-2295,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",22.0,0.0,0.0,"ATLANTIC TIMES SQUARE, 411 E HUNTINGTON DR #305, ARCADIA, CA 91006",34.068671375838925,-118.1342492147651,POINT (-13150644.46783333 4038026.645542771)
66,BEL ABBEY MHP,LOS ANGELES,19-1234-MP,"200 E GARDENA BLVD,  CARSON , 90745", CARSON,90745, (310) 323-3073,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50.0,0.0,0.0,"HAPPY TRAILS, 334 GARDENA BLV., GARDENA, CA 90248",33.88203,-118.27325,POINT (-13166117.96446554 4012972.515604452)
70,DOMINGUEZ TP,LOS ANGELES,19-1311-MP,"2666 DOMINGUEZ ST,  CARSON , 90810", CARSON,90810, (310) 679-2077,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",31.0,0.0,0.0,"CITY OF CARSON, CA, 1 CIVIC PLAZA, #500, LONG BEACH, CA 90745",33.83911,-118.219237,POINT (-13160105.26480933 4007218.835166596)
71,PARK SAN GABRIEL,LOS ANGELES,19-1313-MP,"3053 N SAN GABRIEL BLVD,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",42.0,0.0,0.0,"CB & A INVESTMENTS, LLC, 227 W VALLEY BLVD #308, SAN GABRIEL, CA 91776",34.063567252025955,-118.09062715135912,POINT (-13145788.48194762 4037340.752075002)
72,ASHLEY TP,LOS ANGELES,19-1316-MP,"3488 E COLORADO BLVD,  PASADENA , 91107", PASADENA,91107, (805) 533-2495,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",23.0,0.0,0.0,"FAR EAST BANK, 977 N BROADWAY #401, LOS ANGELES, CA 90012",34.146182,-118.0863599,POINT (-13145313.45369924 4048447.6275411)
75,LITTLE DUDE TP,LOS ANGELES,19-1327-MP,"630 E 220TH ST,  CARSON , 90745", CARSON,90745, (909) 595-8635,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",12.0,0.0,0.0,"SHIMIZU, SIG, 630 E 220TH ST., CARSON, CA 90746",33.827766833333335,-118.26484333333335,POINT (-13165182.13861294 4005698.699315378)
76,THOUSAND TRAILS RV,LOS ANGELES,19-13506-MP,"4700 CROWN VALLEY RD,  ACTON , 93510", ACTON,93510,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,34.44508115,-118.2111851322106,POINT (-13159208.93498708 4088723.274978272)
78,OCEANS 12 RV PARK,LOS ANGELES,19-13569-MP,"1550 EAST L STREET,  WILMINGTON , 90744", WILMINGTON,90744, (310) 999-9267,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,"OCEANS 11 RV PARK LLC, 10645 SOLEDAD CANYON RD, SANTA CLARITA, CA 91390",33.7876082,-118.246466,POINT (-13163136.38322414 4000318.526079282)
79,HACIENDA VASQUES,LOS ANGELES,19-1363-MP,"32590 AGUA DULCE CANYON RD,  AGUA DULCE , 91350", AGUA DULCE,91350, (714) 645-3814,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",57.0,8.0,0.0,"SALMONSON, MITCHELL, 32590 AGUA DULCE CANYON RD, AGUA DULCE, CA 91350",34.4907974,-118.3262894,POINT (-13172022.28346552 4094896.060638663)
80,PARK SAN GABRIEL,LOS ANGELES,19-1376-MP,"3035 N SAN GABRIEL BLVD,  ROSEMEAD , 91770", ROSEMEAD,91770,,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",15.0,0.0,0.0,"CB & A INVESTMENTS, LLC, 227 W VALLEY BLVD #308, SAN GABRIEL, CA 91776",34.06329073344381,-118.09063663199622,POINT (-13145789.53732732 4037303.594616722)
84,THE ROBINS NEST RECREATION RESORT,LOS ANGELES,19-1421-MP,"8237 SOLEDAD CANYON RD,  ACTON , 93510", ACTON,93510, (805) 268-1221,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",0.0,46.0,30.0,"SONG, YOUNG, 8237 SOLEDAD CYN RD, ACTON, CA 93510",34.4704176,-118.191695,POINT (-13157039.3033939 4092143.883205419)
86,CHRONISTER PARK,LOS ANGELES,19-1470-MP,"12368 POINSETTIA,  EL MONTE , 91733", EL MONTE,91733, (619) 868-5224,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",2.0,0.0,0.0,"CHRONISTER, LINDA, 6292 PALMDALE RD #91, PHELAN, CA 92371",34.053146,-118.0173494,POINT (-13137631.23997985 4035940.469822044)
88,PICO RIVERA MHP,LOS ANGELES,19-1485-MP,"8526 WHITTIER BLVD,  PICO RIVERA , 90660", PICO RIVERA,90660, (909) 699-9853,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34.0,0.0,0.0,"IMURA, MASAHARU, 32094 CAMINO GUARDA, TEMECULA, CA 92592",34.00395042857143,-118.08952767346939,POINT (-13145666.0886288 4029332.484509207)
89,VILLA CAPRI MHP,LOS ANGELES,19-1509-MP,"3427 BALDWIN PARK BLVD,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (818) 960-9972,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",13.0,0.0,0.0,"MAMONE, CLOVER, 2014 SOUTH VINE AVE., ONTARIO, CA 91762",34.0864422,-117.9649193,POINT (-13131794.74794561 4040415.015904896)
